app_id,name,category,homepage,upstream_repo,latest_version_upstream,latest_version_flathub,latest_version_arch,latest_version_debian,wayland_score,xlibre_score,confidence,evidence_wayland,evidence_xlibre,toolkit_guess,run_mode_guess,sources_used,notes
blastem,blastem,games,,,,,,0.6.3.4-1+b2,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blazeblogger,blazeblogger,web,,,,,,1.2.0-4,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blepvco,blepvco,sound,,,,,,0.1.0-3+b3,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bless,bless,editors,,,,,,0.6.3-1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blhc,blhc,utils,,,,,,0.13-5,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blkreplay,blkreplay,utils,,,,,,1.0-3.1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blkreplay-examples,blkreplay-examples,utils,,,,,,1.0-3.1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blktrace,blktrace,utils,,,,,,1.2.0-5,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blobandconquer,blobandconquer,games,,,,,,1.11-dfsg+20-2,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blobandconquer-data,blobandconquer-data,games,,,,,,1.11-dfsg+20-2,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blobby,blobby,games,,,,,,1.0-3.1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blobby-data,blobby-data,games,,,,,,1.0-3.1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blobby-server,blobby-server,games,,,,,,1.0-3.1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blobby2,blobby2,A,http://sourceforge.net/projects/blobby/,,,,1.1.1,,3,4,0.35,,,unknown,x11,arch,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bloboats,bloboats,games,,,,,,1.0.2+dfsg-4+b1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blobwars-data,blobwars-data,games,,,,,,2.00-2,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blockattack,blockattack,games,,,,,,2.8.0-1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blockout2,blockout2,games,,,,,,2.5+dfsg1-1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blocks-of-the-undead,blocks-of-the-undead,games,,,,,,1.0-7,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blocks-of-the-undead-data,blocks-of-the-undead-data,games,,,,,,1.0-7,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blop,blop,sound,,,,,,0.2.8-8,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blop-lv2,blop-lv2,sound,,,,,,1.0.4-1+b1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blosxom,blosxom,web,,,,,,2.1.2-2.1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bluedevil,bluedevil,Integrate,https://kde.org/plasma-desktop/,,,,6.6.2,,3,4,0.35,,,unknown,x11,arch,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bluez-alsa-utils,bluez-alsa-utils,utils,,,,,,4.0.0-2,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bluez-tools,bluez-tools,utils,,,,,,2.0~20170911.0.7cb788c-4,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bmap-tools,bmap-tools,utils,,,,,,3.6-2,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bmkdep,bmkdep,NetBSD,https://github.com/trociny/bmkdep,,,,20140112,,3,4,0.35,,,unknown,x11,arch,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bogl-utils,bogl-utils,utils,,,,,,0.1.18-20,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bombardier,bombardier,games,,,,,,0.8.3+nmu3,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bomber,bomber,games,,,,,,4:22.12.3-1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bomberclone,bomberclone,games,,,,,,0.11.9-7.1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bomberclone-data,bomberclone-data,games,,,,,,0.11.9-7.1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bonnie,bonnie++,utils,,,,,,2.00a+nmu1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
boohu,boohu,games,,,,,,0.13.0-1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
boomaga,boomaga,utils,,,,,,3.0.0-1+b1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bootcd,bootcd,utils,,,,,,6.6.5,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bootstrap-icons,bootstrap-icons,web,,,,,,1.10.3+dfsg-1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
borgmatic,borgmatic,utils,,,,,,1.7.7-1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bosh,bosh,utils,,,,,,0.6-11,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
boswars,boswars,games,,,,,,2.7+svn160110-5,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
boswars-data,boswars-data,games,,,,,,2.7+svn160110-5,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
