app_id,name,category,homepage,upstream_repo,latest_version_upstream,latest_version_flathub,latest_version_arch,latest_version_debian,wayland_score,xlibre_score,confidence,evidence_wayland,evidence_xlibre,toolkit_guess,run_mode_guess,sources_used,notes
foot,foot,"Fast,",https://codeberg.org/dnkl/foot,,,,1.25.0,1.13.1-2+deb12u1,4,5,0.77,Metadata mentions Wayland support | Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
foot-terminfo,foot-terminfo,Extra,https://codeberg.org/dnkl/foot,,,,1.25.0,1.13.1-2+deb12u1,4,5,0.77,Metadata mentions Wayland support | Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
slurp,slurp,Select,https://github.com/emersion/slurp,,,,1.5.0,1.4.0-1,4,5,0.77,Metadata mentions Wayland support | Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
wl-clipboard,wl-clipboard,Command-line,https://github.com/bugaevc/wl-clipboard,,,,2.2.1,2.1.0-0.1+b1,4,5,0.77,Metadata mentions Wayland support | Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
xorg-xwayland,xorg-xwayland,run,https://xorg.freedesktop.org,,,,24.1.9,,4,5,0.75,Metadata mentions Wayland support | Runs via XWayland | Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,xwayland,arch,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
xwayland,xwayland,x11,,,,,,2:22.1.9-1,4,5,0.75,Metadata mentions Wayland support | Runs via XWayland | Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,xwayland,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
alacritty,alacritty,A,https://github.com/alacritty/alacritty,,,,0.16.1,0.11.0-4,4,5,0.69,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
caja-open-terminal,caja-open-terminal,A,https://mate-desktop.org,,,,1.28.0,1.26.1-1.2,4,5,0.69,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
fuzzel,fuzzel,Application,https://codeberg.org/dnkl/fuzzel,,,,1.14.0,1.8.2-2,5,5,0.69,Metadata mentions Wayland support | Indicates native Wayland stack,Metadata references X11/Xorg APIs,unknown,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
gpodder,gpodder,Podcast,https://gpodder.github.io/,,,,3.11.5,3.11.1-1,4,5,0.69,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
grsync,grsync,GTK+,http://www.opbyte.it/grsync/,,,,1.3.1,1.3.0-1+b1,4,5,0.69,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
guake,guake,Drop-down,https://guake.github.io/,,,,3.10,3.9.0-2,4,5,0.69,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
kitty,kitty,A,https://github.com/kovidgoyal/kitty,,,,0.45.0,0.26.5-5,4,5,0.69,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
kitty-terminfo,kitty-terminfo,Terminfo,https://github.com/kovidgoyal/kitty,,,,0.45.0,0.26.5-5,4,5,0.69,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
layer-shell-qt,layer-shell-qt,Qt,https://kde.org/plasma-desktop/,,,,6.6.2,5.27.5-2,4,4,0.69,Metadata mentions Wayland support | Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lightdm-gtk-greeter,lightdm-gtk-greeter,GTK+,https://github.com/Xubuntu/lightdm-gtk-greeter,,,,2.0.9,2.0.8-2+b1,4,5,0.69,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxappearance,lxappearance,Feature-rich,https://github.com/lxde/lxappearance,,,,0.6.4,0.6.3-1+b2,4,5,0.69,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lximage-qt,lximage-qt,The,https://github.com/lxqt/lximage-qt,,,,2.3.0,1.2.0-2,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-admin,lxqt-admin,LXQt,https://github.com/lxqt/lxqt-admin,,,,2.3.0,1.2.0-1,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-archiver,lxqt-archiver,A,https://github.com/lxqt/lxqt-archiver,,,,1.3.0,0.7.0-3,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-config,lxqt-config,LXQt,https://github.com/lxqt/lxqt-config,,,,2.3.1,1.2.0-1+b1,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-globalkeys,lxqt-globalkeys,LXQt,https://github.com/lxqt/lxqt-globalkeys,,,,2.3.0,1.2.0-1,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-panel,lxqt-panel,The,https://github.com/lxqt/lxqt-panel,,,,2.3.2,1.2.1-1,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-qtplugin,lxqt-qtplugin,LXQt,https://github.com/lxqt/lxqt-qtplugin,,,,2.3.0,1.2.0-3+b2,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-runner,lxqt-runner,The,https://github.com/lxqt/lxqt-runner,,,,2.3.0,1.2.0-1,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-session,lxqt-session,The,https://github.com/lxqt/lxqt-session,,,,2.3.0,1.2.0-3,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-sudo,lxqt-sudo,LXQt,https://github.com/lxqt/lxqt-sudo,,,,2.3.0,1.2.0-1,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxterminal,lxterminal,VTE-based,https://github.com/lxde/lxterminal,,,,0.4.1,0.4.0-2,4,5,0.69,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
metacity,metacity,Window,https://wiki.gnome.org/Projects/Metacity,,,,3.58.1,1:3.46.1-1,4,5,0.69,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
qps,qps,Qt,https://github.com/lxqt/qps,,,,2.12.0,2.6.0-1,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
qstardict,qstardict,Qt,http://qstardict.ylsoftware.com/index.php,,,,4.0.0,1.3-7,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
qterminal,qterminal,A,https://github.com/lxqt/qterminal,,,,2.3.0,1.2.0-2,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
remmina,remmina,Remote,https://www.remmina.org,,,,1.4.43,1.4.29+dfsg-1,4,5,0.69,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
rxvt-unicode,rxvt-unicode,Unicode,https://software.schmorp.de/pkg/rxvt-unicode.html,,,,9.31,9.30-2+b4,4,5,0.69,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
terminology,terminology,EFL,https://www.enlightenment.org/about-terminology,,,,1.14.0,1.13.0-1,4,5,0.69,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
tilda,tilda,A,https://github.com/lanoxx/tilda,,,,2.0.0,1.5.4-1,4,5,0.69,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
uim-gtk2-0,uim-gtk2.0,GNOME,https://wiki.gnome.org/Projects/GnomeBluetooth,,,,47.1,2.6.0-2+deb12u1,4,5,0.69,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
waybar,waybar,Highly,https://github.com/Alexays/Waybar/,,,,0.15.0,0.9.17-2,5,5,0.69,Metadata mentions Wayland support | Indicates native Wayland stack,Metadata references X11/Xorg APIs,unknown,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
wofi,wofi,launcher,https://hg.sr.ht/~scoopta/wofi,,,,1.5.3,1.3-1,5,5,0.69,Metadata mentions Wayland support | Indicates native Wayland stack,Metadata references X11/Xorg APIs,unknown,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
xarchiver,xarchiver,GTK,https://github.com/ib/xarchiver,,,,0.5.4.26,1:0.5.4.20-2,4,5,0.69,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
foot-themes,foot-themes,x11,,,,,,1.13.1-2+deb12u1,4,5,0.67,Metadata mentions Wayland support | Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
freerdp2-wayland,freerdp2-wayland,x11,,,,,,2.11.7+dfsg1-6~deb12u1,4,5,0.67,Metadata mentions Wayland support | Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
gtk-layer-shell-examples,gtk-layer-shell-examples,x11,,,,,,0.8.0-1,4,5,0.67,Metadata mentions Wayland support | Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,GTK,native-wayland,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
qtwayland5-examples,qtwayland5-examples,x11,,,,,,5.15.8-2,4,5,0.67,Metadata mentions Wayland support | Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
asciinema,asciinema,Record,https://asciinema.org,,,,3.2.0,2.2.0-1,4,5,0.61,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
balsa,balsa,An,https://pawsa.fedorapeople.org/balsa/,,,,2.6.5,2.6.4-2,4,5,0.61,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blinken,blinken,Memory,https://apps.kde.org/blinken/,,,,25.12.2,4:22.12.3-1,3,4,0.61,Toolkit Electron commonly supports Wayland,Toolkit Electron supports X11/XLibre-style sessions,Electron,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
bluefish,bluefish,A,http://bluefish.openoffice.nl/,,,,2.2.19,2.2.12-1.1+b2,4,4,0.61,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
blueprint-compiler,blueprint-compiler,Markup,https://gnome.pages.gitlab.gnome.org/blueprint-compiler/,,,,0.20.0,0.6.0-1,4,4,0.61,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
cage,cage,A,https://www.hjdskes.nl/projects/cage/,,,,0.2.1,0.1.4-4,4,5,0.61,Metadata mentions Wayland support,Metadata references X11/Xorg APIs,unknown,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
catimg,catimg,Print,https://github.com/posva/catimg,,,,2.8.0,2.7.0-2,4,5,0.61,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
celluloid,celluloid,Simple,https://celluloid-player.github.io/,,,,0.29,0.20-2+b1,4,4,0.61,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
crawl-tiles,crawl-tiles,Dungeon,https://crawl.develz.org/,,,,0.33.1,2:0.28.0-1.1,4,4,0.61,Toolkit SDL commonly supports Wayland,Toolkit SDL supports X11/XLibre-style sessions,SDL,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
csoundqt,csoundqt,A,https://csoundqt.github.io/,,,,1.1.3,1.1.1+dfsg0-1,4,4,0.61,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
falkon,falkon,Cross-platform,https://www.falkon.org/,,,,25.12.2,22.12.1-2,4,4,0.61,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
feathernotes,feathernotes,Lightweight,https://github.com/tsujan/FeatherNotes,,,,1.4.0,1.1.0-1,4,4,0.61,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
featherpad,featherpad,Lightweight,https://github.com/tsujan/FeatherPad,,,,1.6.3,1.3.5-1,4,4,0.61,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
foliate,foliate,A,https://johnfactotum.github.io/foliate/,,,,3.3.0,2.6.4-1+dfsg3,4,4,0.61,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
gameconqueror,gameconqueror,Memory,https://github.com/scanmem/scanmem,,,,0.17,0.17-5,4,4,0.61,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
gcolor3,gcolor3,Simple,https://www.hjdskes.nl/projects/gcolor3/,,,,2.4.0,2.4.0-2,4,4,0.61,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
gnome-terminal,gnome-terminal,The,https://wiki.gnome.org/Apps/Terminal,,,,3.59.90,3.46.8-1,4,5,0.61,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
gprename,gprename,GTK,https://gprename.sourceforge.net/,,,,20230429,20210415-1,4,4,0.61,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
grim,grim,Screenshot,https://gitlab.freedesktop.org/emersion/grim,,,,1.5.0,1.4.0+ds-2,4,5,0.61,Metadata mentions Wayland support,Metadata references X11/Xorg APIs,unknown,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
gtkmm-4-0-docs,gtkmm-4.0-docs,Web,https://webkitgtk.org,,,,4.21.3,,4,4,0.61,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions,GTK,native-wayland,arch,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
gxmessage,gxmessage,A,https://trmusson.dreamhosters.com/programs.html#gxmessage,,,,3.4.3,3.4.3-1+b2,4,4,0.61,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
haruna,haruna,Video,https://apps.kde.org/haruna/,,,,1.7.1,0.10.3-1,4,4,0.61,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
hledger-ui,hledger-ui,Curses-style,http://hledger.org,,,,1.51.2,1.25-1,4,5,0.61,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
kanshi,kanshi,Dynamic,https://gitlab.freedesktop.org/emersion/kanshi,,,,1.9.0,1.3.1-1,4,5,0.61,Metadata mentions Wayland support,Metadata references X11/Xorg APIs,unknown,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
kde-cli-tools,kde-cli-tools,Tools,https://kde.org/plasma-desktop/,,,,6.6.2,4:5.27.5.1-2,4,5,0.61,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
kid3-qt,kid3-qt,An,https://kid3.kde.org/,,,,3.9.7,3.9.3-1,4,4,0.61,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
klickety,klickety,An,https://apps.kde.org/klickety/,,,,25.12.2,4:22.12.3-1,4,5,0.61,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
konsole,konsole,KDE,https://apps.kde.org/konsole/,,,,25.12.2,4:22.12.3-1+deb12u1,4,5,0.61,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
l3afpad,l3afpad,Simple,https://github.com/stevenhoneyman/l3afpad,,,,0.8.18.1.11,0.8.18.1.11-4,4,4,0.61,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lf,lf,A,https://github.com/gokcehan/lf,,,,41,28-1+b3,4,5,0.61,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
libportal-gtk3,libportal-gtk3,GIO-style,https://github.com/flatpak/libportal,https://github.com/flatpak/libportal,0.9.1,,,,4,4,0.61,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions,GTK,native-wayland,github,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
mgba-qt,mgba-qt,A,http://mgba.io,,,,0.10.5,0.10.1+dfsg-1+deb12u1,4,4,0.61,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
mgba-sdl,mgba-sdl,A,http://mgba.io,,,,0.10.5,0.10.1+dfsg-1+deb12u1,4,4,0.61,Toolkit SDL commonly supports Wayland,Toolkit SDL supports X11/XLibre-style sessions,SDL,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
micro,micro,Modern,https://micro-editor.github.io/,,,,2.0.15,2.0.11-2+b1,4,5,0.61,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
ncmpc,ncmpc,Fully,https://www.musicpd.org/clients/ncmpc/,,,,0.52,0.47-2,4,5,0.61,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
neovim-qt,neovim-qt,GUI,https://github.com/equalsraf/neovim-qt,,,,0.2.19,0.2.16-1,4,4,0.61,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
pavucontrol-qt,pavucontrol-qt,A,https://github.com/lxqt/pavucontrol-qt,,,,2.3.0,1.2.0-1,4,4,0.61,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
phosh,phosh,A,https://gitlab.gnome.org/World/Phosh/phosh,,,,0.53.1,0.24.0-1,4,5,0.61,Metadata mentions Wayland support,Metadata references X11/Xorg APIs,unknown,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
plasma-integration,plasma-integration,Qt,https://kde.org/plasma-desktop/,,,,6.6.2,5.27.5-2,4,4,0.61,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
pragha,pragha,Lightweight,https://pragha-music-player.github.io/,,,,1.3.4,1.3.4-2+b2,4,4,0.61,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
